id,name,hotel_id,address,link_hotel,city_id,quality,rating,number_people_rating,description,distance,image,price
1,"Amigo Hue Hotel",hotel_261787,Huế,https://is.gd/Wowzu1,6231,2,8.5,623,"Phòng Superior Giường Đôi hoặc 2 Giường Đơn","107.594314813614,16.4699942671879",https://is.gd/yRNZqN,198000
2,"Vinpearl Hotel Hue",hotel_3990894,Huế,https://is.gd/yVqTQp,6231,5,9.4,739,"Phòng Deluxe Có Giường Cỡ King","107.594339,16.463738",https://is.gd/GDv1PI,1470000
3,"Century Riverside Hue",hotel_261782,Huế,https://is.gd/tqSrhz,6231,4,8,449,"Phòng Deluxe Nhìn ra Khu vườn","107.593837380409,16.4706475930836",https://is.gd/SoQIpp,682500
4,"Alba Wellness Resort By Fusion",hotel_2975980,Huế,https://is.gd/IgyK1j,6231,5,9.1,170,"Gói Spa Và Onsen - Phòng Deluxe","107.394263825378,16.4866809184294",https://is.gd/3AzSVp,2317189
5,"Hue Serene Palace Hotel",hotel_582961,Huế,https://is.gd/3i5BDo,6231,3,9.1,1083,"Phòng Superior Giường Đôi hoặc 2 Giường Đơn","107.597286701202,16.4703466519013",https://is.gd/EvBSPg,512000
6,"The Scarlett Boutique Hotel",hotel_1881189,Huế,https://is.gd/lyqvRY,6231,3,9.6,1329,"Phòng Passion","107.594556802447,16.4663059379624",https://is.gd/w7sAqR,626971
7,"Hue Nino Hotel",hotel_264181,Huế,https://is.gd/XvpNO8,6231,3,9,1533,"Phòng Tiêu Chuẩn Giường Đôi","107.595814168453,16.4718539252684",https://is.gd/iXhxqO,259000
8,"Angsana Lang Co",hotel_426581,"Lăng Cô",https://is.gd/6FwFGh,6231,5,8.9,201,"Phòng Grand 2 Giường Đơn có Ban công và Nhìn ra Vườn","107.954460382461,16.3394342071659",https://is.gd/X8bcQr,3479259
9,"Pilgrimage Village Boutique Resort & Spa",hotel_235127,Huế,https://is.gd/7fl3NP,6231,5,9.3,674,"Biệt Thự Với Lối Dẫn Ra Hồ Bơi - Chỉ Dành Cho Người Lớn","107.58060336113,16.4354008614919",https://is.gd/etQVWj,1742306
10,"Huong Giang Hotel Resort & Spa",hotel_235269,Huế,https://is.gd/MXNljt,6231,4,8.4,638,"Phòng Deluxe Giường Đôi/2 Giường Đơn Nhìn Ra Vườn","107.594743967056,16.4716661597715",https://is.gd/0X2VfP,1138500
