id,name,link_tour,city_id,rating_tour,number_people_rating,image,price,tour_id,start_date,start_hour,number_available_seat,number_days
1,"Huế - Đà Nẵng - Bà Nà - Hội An ( Khách sạn 4 sao)",https://is.gd/9oeMsX,6231,4.66,363,https://is.gd/7FzahK,4690000," NDHAN502-242-251220VN-U",25/12/2020,08:00,9,4
2,"Huế - Đà Nẵng - Bà Nà - Hội An ( Khách sạn 4 sao)",https://is.gd/JbMJ1l,6231,4.69,359,https://is.gd/7FzahK,4690000," NDHAN502-243-261220VN-H",26/12/2020,08:00,9,4
3,"Huế - Đà Nẵng - Bà Nà - Hội An",https://is.gd/itLQh7,6231,4.68,361,https://is.gd/tSYbuX,4390000," NDHAN501-253-261220VJ-V",26/12/2020,10:30,9,4
4,"Huế - Đà Nẵng - Bà Nà - Hội An (Khách sạn 4 *)",https://is.gd/7ZNnHk,6231,4.7,359,https://is.gd/tSYbuX,4300000," NDHAN501-001-070121VJ-V",07/01/2021,10:30,9,4
5,"Huế - Đà Nẵng - Bà Nà - Hội An (Khách sạn 4 *)",https://is.gd/zHllew,6231,4.7,358,https://is.gd/tSYbuX,4300000," NDHAN501-002-140121VJ-V",14/01/2021,10:30,9,4
6,"Huế - Đà Nẵng - Bà Nà - Hội An (Khách sạn 4 *)",https://is.gd/Xrowzm,6231,4.7,358,https://is.gd/tSYbuX,4300000," NDHAN501-003-210121VJ-V",21/01/2021,10:30,9,4
7,"Huế - Đà Nẵng - Bà Nà - Hội An (Khách sạn 4*)",https://is.gd/XAXOuL,6231,4.7,358,https://is.gd/tSYbuX,4300000," NDHAN501-004-040321VJ-V",04/03/2021,10:30,9,4
8,"Huế - Đà Nẵng - Bà Nà - Hội An (Khách sạn 4*)",https://is.gd/nwAf7D,6231,4.69,359,https://is.gd/tSYbuX,4300000," NDHAN501-005-110321VJ-V",11/03/2021,10:30,9,4
9,"Huế - Đà Nẵng - Bà Nà - Hội An (Khách sạn 4 *)",https://is.gd/t2dQWc,6231,4.7,358,https://is.gd/tSYbuX,4300000," NDHAN501-006-180321VJ-V",18/03/2021,10:30,9,4
10,"Huế - Đà Nẵng - Bà Nà - Hội An (Khách sạn 4*)",https://is.gd/DZudIs,6231,4.7,358,https://is.gd/tSYbuX,4300000," NDHAN501-007-250321VJ-V",25/03/2021,10:30,9,4
11,"Hà Nội - Bái Đính - Tràng An - Hạ Long - Yên Tử (Khách Sạn 3 Sao)",https://is.gd/rBWi6A,6228,4.15,429,https://is.gd/5lHcgJ,5390000," NDSGN106-090-171220VJ-V",17/12/2020,06:10,4,4
